Station_Name,Train,count
Atlantic Av - Barclay's Center,"[{'NAME': '2-3-4-5'}, {'NAME': 'B-Q'}, {'NAME': 'D-N-Q-R'}]",3
Woodlawn,[{'NAME': '4'}],1
183rd St,[{'NAME': '4'}],1
Mosholu Pkwy,[{'NAME': '4'}],1
Mt Eden Ave,[{'NAME': '4'}],1
Bedford Park Blvd - Lehman College,[{'NAME': '4'}],1
Burnside Ave,[{'NAME': '4'}],1
176th St,[{'NAME': '4'}],1
Brook Ave,[{'NAME': '6'}],1
E 143rd St - St Mary's St,[{'NAME': '6'}],1
Cypress Ave,[{'NAME': '6'}],1
Longwood Ave,[{'NAME': '6'}],1
Elder Ave,[{'NAME': '6'}],1
St Lawrence Ave,[{'NAME': '6'}],1
Whitlock Ave,[{'NAME': '6'}],1
Morrison Av - Soundview,[{'NAME': '6'}],1
E 149th St,[{'NAME': '6'}],1
190th St,[{'NAME': 'A'}],1
Inwood - 207th St,[{'NAME': 'A'}],1
Aqueduct - North Conduit Av,[{'NAME': 'A'}],1
Howard Beach - JFK Airport,[{'NAME': 'A'}],1
Beach 67th St,[{'NAME': 'A'}],1
Beach 25th St,[{'NAME': 'A'}],1
Beach 36th St,[{'NAME': 'A'}],1
Beach 60th St,[{'NAME': 'A'}],1
Beach 44th St,[{'NAME': 'A'}],1
175th St,[{'NAME': 'A'}],1
Aqueduct Racetrack,[{'NAME': 'A'}],1
Far Rockaway - Mott Ave,[{'NAME': 'A'}],1
Broadway - Lafayette St,[{'NAME': 'B-D-F-M'}],1
Herald Sq - 34th St,"[{'NAME': 'B-D-F-M'}, {'NAME': 'N-Q-R-W'}]",2
47th-50th Sts - Rockefeller Ctr,[{'NAME': 'B-D-F-M'}],1
W 4th St - Washington Sq (Lower),[{'NAME': 'B-D-F-M'}],1
42nd St - Bryant Pk,[{'NAME': 'B-D-F-M'}],1
Prospect Park,[{'NAME': 'B-Q-S'}],1
Ft Hamilton Pkwy,"[{'NAME': 'D'}, {'NAME': 'N'}, {'NAME': 'F-G'}]",3
9th Ave,[{'NAME': 'D'}],1
Bay 50th St,[{'NAME': 'D'}],1
62nd St,[{'NAME': 'D'}],1
